# tracer: function
#
# entries-in-buffer/entries-written: 1135/1135   #P:4
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
     kworker/2:2-61    [002] .... 65834.634222: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.634393: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.634502: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.634503: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.644010: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.644013: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.644106: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.644145: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.644310: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.644415: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.644417: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.654032: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.654035: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.654128: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.654172: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.654360: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.654418: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.654419: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.666334: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.666337: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.666430: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.666476: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.666680: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.666749: mei_itouch_write_message <-touch_feedback_ready
